sciname,aphia_id
Lampetra fluviatilis,101172
Thaleichthys pacificus,282959
Eleutheronema tetradactylum,280639
Dichistius capensis,221426
Helicolenus dactylopterus,127251
Haliotis diversicolor,445319
Lamna nasus,105841
Hypomesus pretiosus,279422
Centropristis striata,159348
Mullus surmuletus,126986
Paralichthys olivaceus,275816
Pteria penguin,208448
Priacanthus tayenus,273768
Aythya fuligula,159164
Notarius bonillai,1014484
Pemmatoporella marginata,174358
Oceanites oceanicus,137190
Acanthicus hystrix,1022676
Ageneiosus dentatus,NA
Amblyrhynchote honckenii,1805560
Abantennarius analis,315963
Argyrocottus zanderi,279689
Atopochilus chabanaudi,1014984
Luciobarbus sclateri,1020754
Belonepterygion fasciolatum,279890
Fenestraja atripinna,275414
Callichthys callichthys,1023061
Catostomus tahoensis,1020100
Alburnus chalcoides,307757
Chlamydogobius gloveri,1010862
Clinitrachus argentatus,126844
Coryphaenoides cinereus,272326
Cyclocheilichthys apogon,1015573
Danio dangila,1026565
Dionda diaboli,1013950
Tigrigobius janssi,1012362
Epinephelus polyphekadion,218197
Atherinella eriarcha,279800
Gasteropelecus levis,1526040
Gogolia filewoodi,280911
Gymnura zonura,NA
Hemiemblemaria simula,402646
Brevitrygon walga,1042826
Hypopterus macropterus,281123
Johnius amblycephalus,218638
Lachnolaimus maximus,158822
Lepidotrigla carolae,274888
Liparis coheni,159525
Lycodapus derjugini,279386
Melanostomias biseriatus,127360
Monacanthus chinensis,276256
Myxocyprinus asiaticus,1389902
Neocyttus helgae,127423
Notropis bairdi,1015952
Opisthonema bulleri,275503
Pachyurus adspersus,1020053
Paralonchurus elegans,NA
Insentiraja laxipella,712393
Chrosomus eos,567541
Plectropomus punctatus,218268
Potamotrygon constellata,881721
Pseudobalistes flavimarginatus,219884
Pterophyllum altum,1018251
Raja miraletus,105886
Acroteriobatus ocellatus,1016275
Salarias fasciatus,219340
Scomberoides tol,218433
Serranus atrobranchus,273891
Sparisoma chrysopterum,273774
Sternopygus astrabes,1010948
Synodontis schall,581717
Thynnichthys sandkhol,1022519
Trachycorystes trachycorystes,1026294
Apteronotus magdalenensis,1525066
Vomeridens infuscipinnis,234750
Nototheniops nybelini,234594
Stenocionops ovatus,442136
Panulirus echinatus,107705
Eualus leptognathus,515229
Dichelopandalus bonnieri,107643
Rimapenaeus constrictus,158340
Solenocera algoensis,210416
Benthoecetes tanneri,1391797
Bathyteuthis abyssicola,138848
Pholidoteuthis adami,342247
Larkinia multicostata,504444
Pinctada sugillata,596390
