worms_valid_sciname,aphia_id,aquax,iucn_sciname,sis_taxon_id,iucn_assessment_id,notes
Stolephorus insularis,212284,SDM,NA,NA,NA,"No IUCN under species importance to society"
Scorpaenopsis oxycephalus,218105,SDM,scorpaenopsis oxycephala,46098924,46665174,"accepted name Scorpaenopsis oxycephala aphia id 277531"
Cromileptes altivelis,218193,SDM,NA,NA,NA,"No attribute for species importance to society"
Cynoglossus bilineatus,219846,SDM,NA,NA,NA,"No IUCN under species importance to society"
Rhynchostracion nasus,219914,SDM,ostracion nasus,193688,2260683,"accepted name Ostracion nasus aphia id 219906"
Gymnothorax polyuranodon,271871,SDM,Gymnothorax polyuranodon,195780,123380420,"Freshwater Moray - IUCN Red List Least Concern"
Parmaturus melanobranchus,282164,SDM,NA,NA,NA,"accepted name Dichichthys melanobranchus aphia id 317756; No IUCN under species importance to society"
Stenatherina panatela,282882,SDM,NA,NA,NA,"accepted name Hypoatherina panatela aphia id 310979; No IUCN under species importance to society"
Canthidermis rotundatus,307068,SDM,NA,NA,NA,"accepted name Canthidermis rotundata aphia id 1871563; No attribute for species importance to society"
Acentrogobius nebulosus,312542,SDM,NA,NA,NA,"accepted name Yongeichthys nebulosus aphia id 219605; No IUCN under species importance to society"
Emblemariopsis arawak,593473,SDM,NA,NA,NA,"Araw glass blenny - IUCN Red List Data Deficient; not found in IUCN Red List API"
Coregonus maraena,712453,SDM,NA,NA,NA,"No IUCN under species importance to society"
Lamnostoma polyophthalmum,713029,SDM,NA,NA,NA,"accepted name Lamnostoma polyophthalmus aphia id 1577938; No IUCN under species importance to society"
Brachygenys chrysargyreum,1577330,SDM,Haemulon chrysargyreum,194417,115335430,"accepted name Brachygenys chrysargyrea aphia id 1841028; IUCN Red List Least Concern from synonym Haemulon chrysargyreum aphia id 275725"
Rhonciscus bayanus,1577353,SDM,NA,NA,NA,"No IUCN under species importance to society"
Pictichromis paccagnellorum,1577364,SDM,Pictichromis paccagnellae,69583393,115464927,"accepted name Pictichromis paccagnellae aphia id 398494"
