group,sis_taxon_id,assessment_id,year_published
angelfishes,241132797,241132799,2024
angelfishes,214365901,214365903,2022
angelfishes,165836,6144988,2010
angelfishes,165861,6151012,2010
angelfishes,155308,4771656,2010
angelfishes,165823,6141860,2010
angelfishes,165824,6142025,2010
angelfishes,165828,6142661,2010
angelfishes,165830,6143509,2010
angelfishes,165838,6145523,2010
angelfishes,165848,6147706,2010
angelfishes,165849,6148052,2010
angelfishes,165852,6149013,2010
angelfishes,165854,6149632,2010
angelfishes,165855,6149788,2010
angelfishes,165857,6150186,2010
angelfishes,165858,6150368,2010
angelfishes,165860,6150674,2010
angelfishes,165868,6152833,2010
angelfishes,165870,6153339,2010
angelfishes,165871,6153518,2010
angelfishes,165875,6154710,2010
angelfishes,165876,6154884,2010
angelfishes,165878,6155199,2010
angelfishes,165881,6156216,2010
angelfishes,165890,6158737,2010
angelfishes,165891,6158885,2010
angelfishes,165892,6159058,2010
angelfishes,165893,6159207,2010
angelfishes,165895,6159558,2010
angelfishes,165896,6159731,2010
angelfishes,165897,6159992,2010
angelfishes,165899,6160601,2010
angelfishes,165900,6160869,2010
angelfishes,165901,6161055,2010
angelfishes,165902,6161394,2010
angelfishes,165903,6161805,2010
angelfishes,169679,6666453,2010
angelfishes,154809,4639390,2010
angelfishes,165822,6141673,2010
angelfishes,165825,6142167,2010
angelfishes,165826,6142388,2010
angelfishes,165827,6142514,2010
angelfishes,165829,6143143,2010
angelfishes,165831,6143660,2010
angelfishes,165832,6143879,2010
angelfishes,165833,6144097,2010
angelfishes,165834,6144376,2010
angelfishes,165835,6144569,2010
angelfishes,165837,6145156,2010
angelfishes,165839,6145733,2010
angelfishes,165840,6145988,2010
angelfishes,165841,6146292,2010
angelfishes,165842,6146481,2010
angelfishes,165843,6146629,2010
angelfishes,165844,6146908,2010
angelfishes,165845,6147130,2010
angelfishes,165846,6147400,2010
angelfishes,165847,6147547,2010
angelfishes,165850,6148337,2010
angelfishes,165851,6148505,2010
angelfishes,165853,6149398,2010
angelfishes,165856,6150009,2010
angelfishes,165862,6151184,2010
angelfishes,165863,6151838,2010
angelfishes,165864,6151980,2010
angelfishes,165865,6152213,2010
angelfishes,165867,6152605,2010
angelfishes,165869,6153102,2010
angelfishes,165872,6153996,2010
angelfishes,165873,6154247,2010
angelfishes,165874,6154560,2010
angelfishes,165879,6155521,2010
angelfishes,165880,6155998,2010
angelfishes,165882,6156389,2010
angelfishes,165883,6156566,2010
angelfishes,165884,6156968,2010
angelfishes,165885,6157224,2010
angelfishes,165887,6157789,2010
angelfishes,165888,6158177,2010
angelfishes,165889,6158436,2010
angelfishes,165894,6159417,2010
angelfishes,165898,6160204,2010
angelfishes,168374,6484924,2010
angelfishes,169676,6666175,2010
angelfishes,4131,97799843,2010
angelfishes,165866,177436288,2020
angelfishes,155083,4694588,2010
birds,103827064,281001651,2025
birds,103845767,281029047,2025
birds,22722624,264303350,2025
birds,22723701,281034711,2025
birds,22702100,281024836,2025
birds,22724986,281003388,2025
birds,103815127,172913470,2025
birds,22722976,281009267,2025
birds,22723822,280995498,2025
birds,103780778,264373834,2025
birds,103774870,264290902,2025
birds,103774148,281034542,2025
birds,22721434,281008913,2025
birds,103773936,281014081,2025
birds,103769530,281040045,2025
birds,22735557,281032318,2025
birds,22703314,281030644,2025
birds,22708858,281033138,2025
birds,22708624,154875284,2025
birds,103889880,281033530,2025
birds,105294254,281028133,2025
