iucn_sciname,worms_valid_sciname,sis_taxon_id,iucn_assessment_id,aphia_id,aquax,notes
hexanchus griseus,hexanchus griseus,10030,495630,105833,SDM,NA
lagocephalus gloveri,lagocephalus gloveri,11150,500780,275267,SDM,NA
lamna nasus,lamna nasus,11200,500969,105841,SDM,NA
lutjanus cyanopterus,lutjanus cyanopterus,12417,506633,159796,SDM,NA
menidia conchorum,menidia conchorum,13145,512306,275932,No SDM,NA
mictocaris halope,mictocaris halope,13520,514996,448280,No SDM,NA
parioglossus neocaledonicus,parioglossus neocaledonicus,154656,718371,278753,No SDM,NA
diplodus cervinus,diplodus cervinus,154708,718871,127051,SDM,NA
membras martinica,membras martinica,154767,719371,159220,SDM,NA
ctenogobius thoropsis,ctenogobius thoropsis,154871,720431,712889,No SDM,NA
sciades parkeri,sciades parkeri,155018,722547,712442,SDM,NA
anchoa walkeri,anchoa walkeri,155020,722731,275537,SDM,NA
microgobius tabogensis,microgobius tabogensis,155051,723579,275720,SDM,NA
hyporhamphus roberti,hyporhamphus roberti,155080,723760,293617,SDM,NA
caranx sexfasciatus,caranx sexfasciatus,155130,725623,218404,SDM,NA
lutjanus apodus,lutjanus apodus,155152,726254,159793,SDM,NA
menidia peninsulae,menidia peninsulae,155207,727668,275933,SDM,NA
strongylura marina,strongylura marina,155259,728197,159256,SDM,NA
paludinella sicana,paludinella sicana,155535,732242,182790,No SDM,NA
pagrus pagrus,pagrus pagrus,15873,788483,127063,SDM,NA
favonigobius reichei,favonigobius reichei,16012,816039,280777,SDM,NA
leucoraja lentiginosa,leucoraja lentiginosa,161318,885767,271564,SDM,NA
dactylobatus clarkii,dactylobatus clarkii,161331,886000,280475,SDM,NA
pseudobatos percellens,pseudobatos percellens,161373,887217,1043607,SDM,NA
carcharhinus acronotus,carcharhinus acronotus,161378,887542,158508,SDM,NA
somniosus pacificus,somniosus pacificus,161403,887942,271654,SDM,NA
myliobatis goodei,myliobatis goodei,161436,888243,271487,SDM,NA
etmopterus pusillus,etmopterus pusillus,161443,888910,105912,SDM,NA
dipturus oregoni,dipturus oregoni,161514,889779,271557,SDM,NA
etmopterus lucifer,etmopterus lucifer,161517,889953,215604,SDM,NA
mustelus norrisi,mustelus norrisi,161518,890179,271392,SDM,NA
carcharhinus isodon,carcharhinus isodon,161524,890428,105791,SDM,NA
carcharhinus altimus,carcharhinus altimus,161564,890724,105787,SDM,NA
dipturus teevani,dipturus teevani,161610,892763,271560,SDM,NA
springeria folirostris,springeria folirostris,161681,893386,321650,SDM,NA
cruriraja rugosa,cruriraja rugosa,161682,893530,277291,SDM,NA
alopias superciliosus,alopias superciliosus,161696,894216,105835,SDM,NA
rajella purpuriventralis,rajella purpuriventralis,161702,895848,271591,SDM,NA
dipturus olseni,dipturus olseni,161718,896010,271556,SDM,NA
pteroplatytrygon violacea,pteroplatytrygon violacea,161731,896169,158540,SDM,NA
pseudobatos lentiginosus,pseudobatos lentiginosus,161743,896981,1043479,SDM,NA
semirossia patagonica,semirossia patagonica,162494,901754,342233,SDM,NA
austrorossia mastigophora,austrorossia mastigophora,162495,901868,342280,No SDM,NA
sepia tanybracheia,sepia tanybracheia,162496,902152,438912,No SDM,NA
sepia hierredda,sepia hierredda,162498,902737,342138,SDM,NA
sepioloidea lineolata,sepioloidea lineolata,162499,903030,342394,SDM,NA
sepiella inermis,sepiella inermis,162500,903191,220314,SDM,NA
rossia brachyura,rossia brachyura,162501,903699,342193,No SDM,NA
stoloteuthis leucoptera,stoloteuthis leucoptera,162502,903824,157037,SDM,NA
sepia koilados,sepia koilados,162503,904119,438908,No SDM,NA
sepia murrayi,sepia murrayi,162506,905720,220306,No SDM,NA
megaleledone setebos,megaleledone setebos,162507,905895,325324,SDM,NA
sepia plana,sepia plana,162515,907492,438909,No SDM,NA
euprymna penares,euprymna penares,162516,907630,342318,No SDM,NA
rossia glaucopis,rossia glaucopis,162517,907766,153095,SDM,NA
austrorossia bipapillata,austrorossia bipapillata,162518,907876,342278,SDM,NA
neorossia leptodons,neorossia leptodons,162519,908078,342192,No SDM,NA
sepia senta,sepia senta,162520,908215,438910,No SDM,NA
sepiolina nipponensis,sepiolina nipponensis,162521,908353,342396,SDM,NA
sepia elongata,sepia elongata,162522,908576,220312,No SDM,NA
rossia macrosoma,rossia macrosoma,162523,908776,141449,SDM,NA
sepia vietnamica,sepia vietnamica,162524,909251,342185,No SDM,NA
sepia saya,sepia saya,162525,909453,342172,No SDM,NA
idiosepius thailandicus,idiosepius thailandicus,162526,909581,342346,No SDM,NA
sepiella weberi,sepiella weberi,162528,910154,342215,No SDM,NA
rossia bullisi,rossia bullisi,162529,910328,342194,SDM,NA
sepiadarium nipponianum,sepiadarium nipponianum,162530,910475,342393,No SDM,NA
sepia vossi,sepia vossi,162533,910843,438904,No SDM,NA
rhombosepion omani,rhombosepion omani,162535,911013,1667211,No SDM,NA
heteroteuthis dagamensis,heteroteuthis dagamensis,162536,911229,342188,SDM,NA
sepiola affinis,sepiola affinis,162539,911853,141453,No SDM,NA
sepia mascarensis,sepia mascarensis,162541,912308,342151,No SDM,NA
nectoteuthis pourtalesi,nectoteuthis pourtalesi,162543,912594,342369,No SDM,NA
sepia mira,sepia mira,162544,912737,342153,No SDM,NA
sepia tuberculata,sepia tuberculata,162545,912889,225552,SDM,NA
sepiella japonica,sepiella japonica,162548,913229,153107,No SDM,NA
rhombosepion orbignyanum,rhombosepion orbignyanum,162549,913525,1667212,SDM,NA
sepiadarium austrinum,sepiadarium austrinum,162550,913995,342389,SDM,NA
rossia palpebrosa,rossia palpebrosa,162552,914284,153083,SDM,NA
sepia pulchra,sepia pulchra,162553,914520,342165,No SDM,NA
rondeletiola capensis,rondeletiola capensis,162555,914962,410396,SDM,NA
rhombosepion prashadi,rhombosepion prashadi,162556,915099,1667214,SDM,NA
sepietta oweniana,sepietta oweniana,162557,915487,141452,SDM,NA
sepia gibba,sepia gibba,162558,915981,220310,No SDM,NA
euprymna tasmanica,euprymna tasmanica,162559,916159,342324,SDM,NA
sepiola steenstrupiana,sepiola steenstrupiana,162560,916353,141460,No SDM,NA
sepia insignis,sepia insignis,162561,916691,342141,No SDM,NA
heteroteuthis hawaiiensis,heteroteuthis hawaiiensis,162562,916849,342189,No SDM,NA
sepia bertheloti,sepia bertheloti,162564,917228,141442,SDM,NA
loligo forbesii,loligo forbesii,162565,917517,140270,No SDM,NA
sepiella ornata,sepiella ornata,162567,918228,225586,No SDM,NA
sepia irvingi,sepia irvingi,162568,918508,342142,No SDM,NA
euprymna albatrossae,euprymna albatrossae,162569,918649,342314,No SDM,NA
sepia tala,sepia tala,162570,918772,342179,No SDM,NA
octopus vulgaris,octopus vulgaris,162571,918906,140605,No SDM,NA
inioteuthis japonica,inioteuthis japonica,162572,919456,342348,No SDM,NA
semirossia equalis,semirossia equalis,162573,919654,342232,SDM,NA
sepioloidea pacifica,sepioloidea pacifica,162574,919974,342395,No SDM,NA
rossia megaptera,rossia megaptera,162575,920117,157032,SDM,NA
stoloteuthis weberi,stoloteuthis weberi,162576,920323,410405,No SDM,NA
sepia kiensis,sepia kiensis,162577,920458,438907,No SDM,NA
sepia vercoi,sepia vercoi,162578,920620,342183,No SDM,NA
rhombosepion elegans,rhombosepion elegans,162579,920760,1667162,SDM,NA
sepiola rondeletii,sepiola rondeletii,162580,921303,141459,SDM,NA
sepia confusa,sepia confusa,162581,921723,342124,No SDM,NA
sepia chirotrema,sepia chirotrema,162582,921890,342123,No SDM,NA
idiosepius minimus,idiosepius minimus,162585,922477,342341,No SDM,NA
spirula spirula,spirula spirula,162587,922936,141548,SDM,NA
sepiola rossiaeformis,sepiola rossiaeformis,162589,923484,342205,No SDM,NA
sepia ivanovi,sepia ivanovi,162590,923595,342143,No SDM,NA
sepiadarium auritum,sepiadarium auritum,162592,923904,342388,No SDM,NA
sepia brevimana,sepia brevimana,162594,924244,342120,No SDM,NA
iridoteuthis iris,iridoteuthis iris,162595,924623,342350,No SDM,NA
sepiola robusta,sepiola robusta,162597,924899,141458,SDM,NA
