aphia_id,sciname,taxon
100801,actinia cari,corals
100803,actinia equina,corals
100808,anemonia viridis,corals
100809,anthopleura ballii,corals
100812,anthopleura thallia,corals
100815,aulactinia verrucosa,corals
100822,condylactis aurantiaca,corals
100823,cribrinopsis crassa,corals
100824,cribrinopsis similis,corals
100830,paranemonia cinerea,corals
100832,urticina crassicornis,corals
100833,urticina eques,corals
100834,urticina felina,corals
100838,actinostola abyssorum,corals
100839,actinostola callosa,corals
100841,anthosactis janmayeni,corals
100842,glandulactis spetsbergensis,corals
100854,stomphia coccinea,corals
100859,aiptasia mutabilis,corals
100862,alicia mirabilis,corals
100863,andresia partenopea,corals
100867,bathyphellia margaritacea,corals
100870,bunodeopsis strumosa,corals
100872,diadumene cincta,corals
100875,edwardsia andresi,corals
100876,edwardsia arctica,corals
100880,edwardsia claparedii,corals
100910,scolanthus callimorphus,corals
100912,gonactinia prolifera,corals
100913,protanthea simplex,corals
100914,cactosoma abyssorum,corals
100915,halcampa arctica,corals
100920,halcampoides abyssorum,corals
100924,anemonactis mazeli,corals
100929,actinauge abyssorum,corals
100930,actinauge richardi,corals
100933,allantactis parasitica,corals
100936,amphianthus dohrnii,corals
100941,amphianthus margaritaceus,corals
100946,calliactis parasitica,corals
100950,hormathia coronata,corals
100951,hormathia digitata,corals
100954,hormathia nodosa,corals
100960,paractinia striata,corals
100966,phelliactis robusta,corals
100971,telmatactis cricoides,corals
100972,telmatactis forskalii,corals
100977,kadosactis rosea,corals
100982,metridium senile,corals
100985,phymanthus pulcher,corals
100986,actinothoe sphyrodeta,corals
100987,cereus pedunculatus,corals
101005,arachnactis albida,corals
101011,cerianthus membranaceus,corals
101020,ptychodactis patula,corals
101021,epizoanthus abyssorum,corals
101023,epizoanthus arenaceus,corals
101031,epizoanthus lindahli,corals
101033,epizoanthus mediterraneus,corals
101035,epizoanthus paguricola,corals
101036,epizoanthus paguriphilus,corals
101037,epizoanthus papillosus,corals
101043,epizoanthus vagus,corals
101055,parazoanthus axinellae,corals
101058,isaurus tuberculatus,corals
101170,myxine glutinosa,fish
101171,myxine ios,fish
101817,aeginella spinosa,crustacea_arthropods
101820,aeginina longicornis,crustacea_arthropods
101825,caprella andreae,crustacea_arthropods
101827,caprella danilevskii,crustacea_arthropods
101830,caprella equilibra,crustacea_arthropods
101839,caprella linearis,crustacea_arthropods
101846,caprella penantis,crustacea_arthropods
101857,pariambus typicus,crustacea_arthropods
101864,phtisica marina,crustacea_arthropods
101881,amathillopsis spinigera,crustacea_arthropods
101883,ampelisca aequicornis,crustacea_arthropods
101891,ampelisca brevicornis,crustacea_arthropods
101895,ampelisca declivitatis,crustacea_arthropods
101908,ampelisca macrocephala,crustacea_arthropods
101928,ampelisca spinipes,crustacea_arthropods
101945,byblis minuticornis,crustacea_arthropods
101950,haploops laevis,crustacea_arthropods
101954,haploops setosa,crustacea_arthropods
101958,haploops tubicola,crustacea_arthropods
102000,ampithoe ramondi,crustacea_arthropods
102005,ampithoe valida,crustacea_arthropods
102007,cymadusa filosa,crustacea_arthropods
102009,sunamphitoe pelagica,crustacea_arthropods
102033,lembos websteri,crustacea_arthropods
102048,microdeutopus gryllotalpa,crustacea_arthropods
102064,argissa hamatipes,crustacea_arthropods
102108,neohela monstrosa,crustacea_arthropods
102135,dexamine spinosa,crustacea_arthropods
102145,epimeria cornigera,crustacea_arthropods
102146,epimeria loricata,crustacea_arthropods
102152,paramphithoe hystrix,crustacea_arthropods
102181,cleippides quadricuspis,crustacea_arthropods
102200,eusirus holmii,crustacea_arthropods
102213,haliragoides inermis,crustacea_arthropods
102270,gammarus aequicauda,crustacea_arthropods
102280,gammarus insensibilis,crustacea_arthropods
102281,gammarus locusta,crustacea_arthropods
102285,gammarus oceanicus,crustacea_arthropods
102296,gammarus tigrinus,crustacea_arthropods
102297,gammarus wilkitzkii,crustacea_arthropods
102347,iphimedia obesa,crustacea_arthropods
102378,megamphopus longicornis,crustacea_arthropods
102383,photis longicaudata,crustacea_arthropods
102433,jassa marmorata,crustacea_arthropods
102460,leucothoe incisa,crustacea_arthropods
102481,liljeborgia fissicornis,crustacea_arthropods
102545,centromedon calcaratus,crustacea_arthropods
102553,cyclocaris guilelmi,crustacea_arthropods
102557,cyphocaris richardi,crustacea_arthropods
102563,eurythenes gryllus,crustacea_arthropods
102564,eurythenes obesus,crustacea_arthropods
102570,hippomedon denticulatus,crustacea_arthropods
102695,orchomenella obtusa,crustacea_arthropods
102730,stephonyx biscayensis,crustacea_arthropods
102736,tmetonyx cicada,crustacea_arthropods
102788,abludomelita obtusata,crustacea_arthropods
102802,elasmopus pectenicrus,crustacea_arthropods
102804,elasmopus pocillimanus,crustacea_arthropods
102805,elasmopus rapax,crustacea_arthropods
102864,acanthostepheia malmgreni,crustacea_arthropods
102870,arrhis phyllonyx,crustacea_arthropods
102892,monoculodes packardi,crustacea_arthropods
102911,paroediceros lynceus,crustacea_arthropods
102916,pontocrates altamarinus,crustacea_arthropods
102918,pontocrates arenarius,crustacea_arthropods
102939,halice abyssi,crustacea_arthropods
102986,paraphoxus oculatus,crustacea_arthropods
103050,paradulichia typica,crustacea_arthropods
103058,bathyporeia elegans,crustacea_arthropods
103060,bathyporeia guilliamsoniana,crustacea_arthropods
103068,bathyporeia pilosa,crustacea_arthropods
103077,monoporeia affinis,crustacea_arthropods
103083,seba saundersii,crustacea_arthropods
103105,stegocephalus inflatus,crustacea_arthropods
103163,stenothoe gallensis,crustacea_arthropods
103217,platorchestia platensis,crustacea_arthropods
103226,urothoe brevicornis,crustacea_arthropods
103229,urothoe grimaldii,crustacea_arthropods
103235,urothoe poseidonis,crustacea_arthropods
103241,brachyscelus crusculum,crustacea_arthropods
103244,cystisoma latipes,crustacea_arthropods
103255,hyperioides longipes,crustacea_arthropods
103259,themisto abyssorum,crustacea_arthropods
103271,phronima atlantica,crustacea_arthropods
103272,phronima sedentaria,crustacea_arthropods
103273,phrosina semilunata,crustacea_arthropods
103274,primno evansi,crustacea_arthropods
103275,platyscelus ovoides,crustacea_arthropods
103276,paralycaea gracilis,crustacea_arthropods
103277,acanthoscina acanthodes,crustacea_arthropods
103278,scina borealis,crustacea_arthropods
103279,scina crassicornis,crustacea_arthropods
103280,scina lepisma,crustacea_arthropods
103281,scina marginata,crustacea_arthropods
103285,scina submarginata,crustacea_arthropods
103286,scina tullbergi,crustacea_arthropods
103291,vibilia propinqua,crustacea_arthropods
103309,antipathes dichotoma,corals
103323,bathypathes patula,corals
103326,leiopathes glaberrima,corals
103328,parantipathes larix,corals
104252,acartia danae,crustacea_arthropods
104257,acartia longiremis,crustacea_arthropods
104259,acartia negligens,crustacea_arthropods
104262,acartia tonsa,crustacea_arthropods
104267,aetideopsis armata,crustacea_arthropods
104270,aetideopsis multiserrata,crustacea_arthropods
104272,aetideopsis rostrata,crustacea_arthropods
104273,aetideus acutus,crustacea_arthropods
104275,aetideus armatus,crustacea_arthropods
104276,aetideus giesbrechti,crustacea_arthropods
104292,chiridius obtusifrons,crustacea_arthropods
104293,chiridius poppei,crustacea_arthropods
104294,chirundina streetsii,crustacea_arthropods
104296,euchirella amoena,crustacea_arthropods
104298,euchirella bitumida,crustacea_arthropods
104299,euchirella curticauda,crustacea_arthropods
104300,euchirella maxima,crustacea_arthropods
104302,euchirella pulchra,crustacea_arthropods
104303,euchirella rostrata,crustacea_arthropods
104304,euchirella truncata,crustacea_arthropods
104306,gaetanus armiger,crustacea_arthropods
104309,gaetanus kruppii,crustacea_arthropods
104310,gaetanus latifrons,crustacea_arthropods
104311,gaetanus miles,crustacea_arthropods
104312,gaetanus minor,crustacea_arthropods
104313,gaetanus pileatus,crustacea_arthropods
104342,undeuchaeta major,crustacea_arthropods
104343,undeuchaeta plumosa,crustacea_arthropods
104344,valdiviella insignis,crustacea_arthropods
104346,valdiviella oligarthra,crustacea_arthropods
104349,arietellus giesbrechti,crustacea_arthropods
104372,augaptilus glacialis,crustacea_arthropods
104373,augaptilus longicaudatus,crustacea_arthropods
104374,augaptilus megalurus,crustacea_arthropods
104378,centraugaptilus rattrayi,crustacea_arthropods
104390,euaugaptilus filigerus,crustacea_arthropods
104392,euaugaptilus gracilis,crustacea_arthropods
104394,euaugaptilus hecticus,crustacea_arthropods
104396,euaugaptilus hyperboreus,crustacea_arthropods
104397,euaugaptilus laticeps,crustacea_arthropods
104406,euaugaptilus nodifrons,crustacea_arthropods
104422,haloptilus acutifrons,crustacea_arthropods
104426,haloptilus fertilis,crustacea_arthropods
104428,haloptilus furcatus,crustacea_arthropods
104430,haloptilus longicirrus,crustacea_arthropods
104431,haloptilus longicornis,crustacea_arthropods
104432,haloptilus mucronatus,crustacea_arthropods
104433,haloptilus ornatus,crustacea_arthropods
104434,haloptilus oxycephalus,crustacea_arthropods
104435,haloptilus paralongicirrus,crustacea_arthropods
104437,haloptilus spiniceps,crustacea_arthropods
104459,temorites brevis,crustacea_arthropods
104464,calanus finmarchicus,crustacea_arthropods
104468,mesocalanus tenuicornis,crustacea_arthropods
104469,nannocalanus minor,crustacea_arthropods
104471,neocalanus gracilis,crustacea_arthropods
104472,neocalanus robustior,crustacea_arthropods
104473,undinula vulgaris,crustacea_arthropods
104475,candacia bipinnata,crustacea_arthropods
104476,candacia curta,crustacea_arthropods
104478,candacia ethiopica,crustacea_arthropods
104481,candacia longimana,crustacea_arthropods
104483,candacia pachydactyla,crustacea_arthropods
104484,candacia paenelongimana,crustacea_arthropods
104485,candacia tenuimana,crustacea_arthropods
104486,candacia varicans,crustacea_arthropods
104491,centropages bradyi,crustacea_arthropods
104495,centropages furcatus,crustacea_arthropods
104496,centropages hamatus,crustacea_arthropods
104499,centropages typicus,crustacea_arthropods
104500,centropages violaceus,crustacea_arthropods
104502,clausocalanus arcuicornis,crustacea_arthropods
104503,clausocalanus furcatus,crustacea_arthropods
104505,clausocalanus lividus,crustacea_arthropods
104508,clausocalanus paululus,crustacea_arthropods
104509,clausocalanus pergens,crustacea_arthropods
104510,ctenocalanus vanus,crustacea_arthropods
104513,microcalanus pygmaeus,crustacea_arthropods
104542,rhincalanus cornutus,crustacea_arthropods
104543,rhincalanus nasutus,crustacea_arthropods
104544,subeucalanus crassus,crustacea_arthropods
104545,subeucalanus monachus,crustacea_arthropods
104547,subeucalanus pileatus,crustacea_arthropods
104548,subeucalanus subcrassus,crustacea_arthropods
104549,subeucalanus subtenuis,crustacea_arthropods
104550,euchaeta acuta,crustacea_arthropods
104552,euchaeta marina,crustacea_arthropods
104553,euchaeta media,crustacea_arthropods
104554,euchaeta pubera,crustacea_arthropods
104555,euchaeta spinosa,crustacea_arthropods
104557,paraeuchaeta barbata,crustacea_arthropods
104558,paraeuchaeta bisinuata,crustacea_arthropods
104560,paraeuchaeta glacialis,crustacea_arthropods
104561,paraeuchaeta gracilis,crustacea_arthropods
104562,paraeuchaeta hansenii,crustacea_arthropods
104564,paraeuchaeta incisa,crustacea_arthropods
104568,paraeuchaeta polaris,crustacea_arthropods
104569,paraeuchaeta pseudotonsa,crustacea_arthropods
104576,heterorhabdus abyssalis,crustacea_arthropods
104579,heterorhabdus norvegicus,crustacea_arthropods
104580,heterorhabdus papilliger,crustacea_arthropods
104582,heterorhabdus spinifer,crustacea_arthropods
104583,heterorhabdus spinifrons,crustacea_arthropods
104586,heterostylites longicornis,crustacea_arthropods
104587,heterostylites major,crustacea_arthropods
104589,mesorhabdus brevicaudatus,crustacea_arthropods
104592,neorhabdus latus,crustacea_arthropods
104595,lucicutia clausi,crustacea_arthropods
104596,lucicutia curta,crustacea_arthropods
104597,lucicutia flavicornis,crustacea_arthropods
104598,lucicutia formosa,crustacea_arthropods
104599,lucicutia gaussae,crustacea_arthropods
104600,lucicutia gemina,crustacea_arthropods
104603,lucicutia longiserrata,crustacea_arthropods
104607,lucicutia magna,crustacea_arthropods
104608,lucicutia maxima,crustacea_arthropods
104609,lucicutia ovalis,crustacea_arthropods
104616,mecynocera clausi,crustacea_arthropods
104622,megacalanus princeps,crustacea_arthropods
104627,metridia brevicauda,crustacea_arthropods
104628,metridia curticauda,crustacea_arthropods
104633,metridia lucens,crustacea_arthropods
104635,metridia princeps,crustacea_arthropods
104636,metridia venusta,crustacea_arthropods
104637,pleuromamma abdominalis,crustacea_arthropods
104639,pleuromamma gracilis,crustacea_arthropods
104640,pleuromamma piseki,crustacea_arthropods
104643,pleuromamma xiphias,crustacea_arthropods
104645,acrocalanus gibber,crustacea_arthropods
104646,acrocalanus longicornis,crustacea_arthropods
104651,calocalanus contractus,crustacea_arthropods
104669,calocalanus pavo,crustacea_arthropods
104670,calocalanus pavoninus,crustacea_arthropods
104673,calocalanus styliremis,crustacea_arthropods
104681,paracalanus aculeatus,crustacea_arthropods
104684,paracalanus nanus,crustacea_arthropods
104685,paracalanus parvus,crustacea_arthropods
104691,cornucalanus indicus,crustacea_arthropods
104698,phaenna spinifera,crustacea_arthropods
104700,xanthocalanus agilis,crustacea_arthropods
104723,calanopia americana,crustacea_arthropods
104724,calanopia elliptica,crustacea_arthropods
104726,labidocera acuta,crustacea_arthropods
104727,labidocera acutifrons,crustacea_arthropods
104728,labidocera aestiva,crustacea_arthropods
104730,labidocera detruncata,crustacea_arthropods
104731,labidocera kroyeri,crustacea_arthropods
104733,labidocera nerii,crustacea_arthropods
104735,labidocera pavo,crustacea_arthropods
104736,labidocera wollastoni,crustacea_arthropods
104737,pontella atlantica,crustacea_arthropods
104740,pontella securifer,crustacea_arthropods
104743,pontellina plumata,crustacea_arthropods
104745,pontellopsis regalis,crustacea_arthropods
104746,pontellopsis villosa,crustacea_arthropods
104771,amallothrix gracilis,crustacea_arthropods
104779,lophothrix frontalis,crustacea_arthropods
104781,lophothrix latipes,crustacea_arthropods
104791,scaphocalanus brevirostris,crustacea_arthropods
104792,scaphocalanus curtus,crustacea_arthropods
104793,scaphocalanus echinatus,crustacea_arthropods
104798,scaphocalanus magnus,crustacea_arthropods
104803,scaphocalanus subcurtus,crustacea_arthropods
104804,scolecithricella abyssalis,crustacea_arthropods
104807,scolecithricella dentata,crustacea_arthropods
104819,scolecithricella vittata,crustacea_arthropods
104820,scolecithrix bradyi,crustacea_arthropods
104821,scolecithrix danae,crustacea_arthropods
104831,scottocalanus helenae,crustacea_arthropods
104832,scottocalanus persecans,crustacea_arthropods
104833,scottocalanus securifrons,crustacea_arthropods
104834,scottocalanus thomasi,crustacea_arthropods
104838,mimocalanus cultrifer,crustacea_arthropods
104841,mimocalanus nudus,crustacea_arthropods
104843,monacilla tenera,crustacea_arthropods
104844,monacilla typica,crustacea_arthropods
104846,spinocalanus abyssalis,crustacea_arthropods
104848,spinocalanus brevicaudatus,crustacea_arthropods
104851,spinocalanus horridus,crustacea_arthropods
104852,spinocalanus longicornis,crustacea_arthropods
104853,spinocalanus magnus,crustacea_arthropods
104854,spinocalanus oligospinosus,crustacea_arthropods
104856,spinocalanus spinosus,crustacea_arthropods
104859,teneriforma naso,crustacea_arthropods
104872,eurytemora affinis,crustacea_arthropods
104879,temora stylifera,crustacea_arthropods
104880,temora turbinata,crustacea_arthropods
104881,temoropia mayumbaensis,crustacea_arthropods
105787,carcharhinus altimus,elasmobranchs
105788,carcharhinus brevipinna,elasmobranchs
105789,carcharhinus falciformis,elasmobranchs
