sis_taxon_id,assessment_id,year_published
10030,495630,2020
11150,500780,2014
11200,500969,2019
12417,506633,2016
12695,507698,2019
13145,512306,2015
13520,514996,2014
154656,718371,2012
154708,718871,2014
154767,719371,2019
154871,720431,2025
155018,722547,2015
155020,722731,2020
155051,723579,2019
155080,723760,2019
155130,725623,2019
155152,726254,2016
155207,727668,2019
155259,728197,2019
155273,729102,2012
155535,732242,2014
155736,735697,2012
155980,738398,2013
15873,788483,2014
16012,816039,2017
161318,885767,2020
161331,886000,2020
161373,887217,2020
161378,887542,2021
161403,887942,2021
161436,888243,2020
161443,888910,2020
161514,889779,2020
161517,889953,2018
161518,890179,2021
161524,890428,2021
161564,890724,2020
161610,892763,2020
161681,893386,2020
161682,893530,2020
161696,894216,2019
161702,895848,2020
161718,896010,2020
161731,896169,2019
161743,896981,2020
162494,901754,2012
162495,901868,2012
162496,902152,2012
162497,902289,2012
162498,902737,2012
162499,903030,2012
162500,903191,2012
162501,903699,2012
162502,903824,2012
162503,904119,2012
162504,904257,2012
162505,904969,2012
162506,905720,2012
162507,905895,2019
162508,906118,2012
162509,906314,2012
162510,906617,2012
162511,906758,2012
162512,906905,2012
162513,907105,2012
162514,907364,2012
162515,907492,2012
162516,907630,2012
162517,907766,2012
162518,907876,2012
162519,908078,2012
162520,908215,2012
162521,908353,2012
162522,908576,2012
162523,908776,2012
162524,909251,2012
162525,909453,2012
162526,909581,2012
162527,909765,2012
162528,910154,2012
162529,910328,2012
162530,910475,2012
162532,910702,2012
162533,910843,2012
162535,911013,2012
162536,911229,2012
162537,911356,2012
162538,911484,2012
162539,911853,2012
162540,912120,2012
162541,912308,2012
162542,912464,2012
162543,912594,2012
162544,912737,2012
162545,912889,2012
162547,913028,2012
162548,913229,2012
162549,913525,2012
162550,913995,2012
162551,914143,2012
162552,914284,2012
162553,914520,2012
162554,914661,2012
162555,914962,2012
162556,915099,2012
162557,915487,2012
162558,915981,2012
162559,916159,2012
162560,916353,2012
162561,916691,2012
162562,916849,2012
162563,917042,2012
162564,917228,2012
162565,917517,2019
162566,918031,2012
162567,918228,2012
162568,918508,2012
162569,918649,2012
162570,918772,2012
162571,918906,2018
162572,919456,2012
162573,919654,2012
162574,919974,2012
162575,920117,2012
162576,920323,2012
162577,920458,2012
162578,920620,2012
162579,920760,2012
162580,921303,2012
162581,921723,2012
162582,921890,2012
162583,922038,2012
162584,922185,2012
162585,922477,2012
162586,922630,2012
162587,922936,2012
162588,923314,2012
162589,923484,2012
162590,923595,2012
162591,923737,2012
162592,923904,2012
162593,924035,2012
162594,924244,2012
162595,924623,2012
162596,924746,2012
162597,924899,2012
162598,925206,2012
162599,925343,2012
162600,925565,2012
162601,926074,2012
162602,926272,2012
162603,926402,2012
162604,926579,2012
162605,926842,2012
162606,927065,2012
162608,927246,2012
162609,927453,2012
162610,927727,2012
162611,928122,2012
162612,928263,2012
162613,928439,2012
162614,928571,2012
162615,928715,2012
162616,928874,2012
162617,929820,2012
162618,930024,2012
162619,930233,2012
162620,930451,2012
162621,930694,2012
162622,930857,2012
162623,931000,2012
162624,931149,2012
162625,931302,2012
162626,931440,2012
162627,931625,2012
162628,931900,2012
162629,932030,2012
162630,932240,2012
162631,932588,2012
162632,932860,2018
162633,933067,2012
162634,933220,2012
162635,933436,2012
162637,934021,2012
162638,934155,2012
162639,934341,2012
162640,934582,2012
162641,934740,2012
162642,934873,2012
162643,935016,2012
162644,935289,2012
162645,935830,2012
162646,936071,2012
162647,936237,2012
162648,936400,2012
162649,936570,2012
162650,936826,2012
162651,936975,2012
162652,937223,2012
162653,937367,2012
162654,937531,2012
162655,937665,2012
162656,937822,2012
162657,937941,2012
162658,938156,2012
162659,938307,2012
162660,938595,2012
162662,938919,2012
162663,939433,2012
162664,939991,2012
162665,940453,2012
162666,940677,2012
162667,940955,2012
162668,941205,2012
162669,941389,2012
162670,941509,2012
162672,941958,2012
162673,942356,2012
162674,942516,2012
162676,942672,2012
162677,942869,2012
162678,943019,2012
162679,943177,2012
162680,943377,2012
162681,943607,2012
162682,943839,2012
162683,944319,2012
162684,944514,2012
162685,944655,2012
162686,944773,2012
162687,944902,2012
162695,945167,2018
162696,945349,2018
162697,945505,2018
162698,945672,2018
162699,945856,2018
162700,946021,2018
162701,946212,2018
162702,946374,2018
162703,946530,2018
162704,946686,2018
162705,946862,2018
162706,946989,2018
162707,947157,2018
162708,947324,2018
162709,947487,2018
162710,947645,2018
162712,947986,2018
162713,948145,2018
162714,948327,2018
162715,948474,2018
162716,948614,2018
162717,948796,2018
162718,948963,2018
162719,949136,2018
162720,949315,2018
162721,949517,2018
162894,950290,2014
162897,950440,2018
162899,950548,2014
162900,951370,2014
162901,951553,2019
162902,951582,2014
162903,951656,2018
162904,951662,2014
162905,951790,2014
162906,951921,2014
162907,952117,2018
162908,952123,2014
162909,952287,2014
162910,952453,2014
162911,952525,2018
162912,952531,2018
162913,952657,2018
162914,952663,2018
162916,952917,2014
162917,953097,2014
162918,953226,2014
162919,953330,2014
162920,953650,2019
162922,953701,2014
162923,953836,2019
162924,953842,2018
162925,953880,2014
162926,954040,2014
162928,954300,2014
162929,954416,2018
162930,954587,2014
162931,954756,2014
162932,954911,2018
162933,954917,2014
162934,955048,2014
162935,955213,2019
162937,955266,2018
162938,955272,2014
162939,955442,2014
162940,955532,2019
162941,955561,2014
162942,955784,2014
162943,955940,2014
162944,956018,2014
162945,956126,2014
162946,956344,2014
162948,956543,2014
162950,957015,2014
162951,957202,2014
162952,957309,2014
162953,957461,2014
162954,957595,2018
162955,957634,2018
162956,957785,2014
162957,957947,2018
162958,958049,2018
162959,958088,2014
162961,958314,2014
162962,958515,2014
162963,958660,2018
162964,958755,2014
162966,958901,2018
162967,958991,2014
162968,959100,2014
162969,959236,2019
162970,959265,2024
162971,959408,2018
162972,959446,2014
162973,959574,2019
162974,959580,2018
162975,959619,2018
162976,959660,2018
162977,959666,2014
162978,959777,2018
162979,959815,2014
162980,959967,2014
162981,960084,2019
162982,960113,2014
162983,960225,2018
162984,960264,2014
162985,960386,2019
162986,960411,2014
162987,961381,2018
162988,961420,2014
162989,962316,2018
162990,962322,2018
162991,962363,2018
162992,962369,2018
162994,962458,2014
162996,962602,2014
162997,962708,2019
162998,962733,2018
162999,962739,2014
163002,962911,2014
163003,963101,2014
163004,963213,2018
163006,963299,2018
163007,963338,2014
163008,963400,2014
163009,963546,2019
163010,963585,2018
163011,963624,2014
163012,963752,2014
163013,963844,2018
163014,963929,2019
163015,964014,2018
163017,964020,2019
163018,964059,2019
163019,964098,2014
163020,964247,2019
163022,964335,2014
163024,964484,2014
163025,964592,2014
163026,964719,2014
163027,964854,2019
163028,964879,2014
163029,965050,2014
163030,965138,2014
163031,965248,2018
163032,965254,2018
163033,965260,2014
163034,965390,2018
163035,965504,2014
163036,965631,2018
163037,965731,2014
163038,965858,2014
163040,966011,2018
163041,966017,2019
163042,966023,2014
163045,966300,2019
163047,966407,2018
163048,966481,2018
163049,966574,2019
163050,966613,2014
163051,966807,2014
163052,966920,2014
163053,967084,2018
163054,967178,2014
163055,967286,2018
163056,967325,2014
163057,967471,2018
163058,967477,2019
163059,967524,2014
163060,967669,2018
163061,967770,2018
163063,967809,2014
163064,967913,2014
163065,968048,2014
163066,968180,2014
163067,968266,2014
163068,968435,2014
163069,968556,2018
163070,968562,2014
163071,968661,2014
163072,968832,2018
163073,968838,2014
163074,969042,2014
163075,969155,2014
163076,969231,2018
163077,969270,2014
163078,969485,2018
163079,969491,2014
163080,969616,2014
163081,970763,2019
163082,970785,2014
163083,970914,2014
163084,970997,2018
163085,971071,2014
163086,971305,2014
163087,971425,2018
163088,971465,2014
163089,971624,2014
163090,971748,2014
163091,971846,2018
163092,971852,2018
163093,971858,2024
163094,971967,2014
163095,972086,2014
163096,972523,2014
163097,972653,2019
163098,972659,2018
163099,972665,2018
163100,972671,2018
163101,972677,2014
163102,972797,2014
163103,973124,2018
163106,973179,2014
163107,973283,2018
163108,973433,2014
163109,973547,2018
163110,973553,2014
163111,973665,2018
163112,973704,2014
163113,973844,2018
163114,973850,2014
163115,974020,2019
163117,974161,2014
163118,974278,2014
163119,974426,2018
163121,974477,2014
163122,974582,2019
163124,974640,2018
163125,974732,2014
163126,974818,2018
163127,974824,2018
163128,974901,2018
163129,975002,2014
163130,975159,2018
163131,975198,2014
163132,975590,2014
163133,975726,2018
163134,975732,2014
163135,975841,2018
163137,975973,2018
163138,976076,2018
163139,976082,2019
163140,976168,2018
163141,976478,2014
163142,976711,2014
163143,976835,2014
163145,977068,2018
163146,977074,2014
163147,977211,2018
163148,977250,2019
163149,977279,2018
163150,977409,2018
163152,977501,2014
163155,978025,2014
163156,978168,2014
163157,978320,2014
163159,978478,2018
163160,978670,2014
163161,978847,2014
163162,979019,2014
163163,979160,2014
163164,979707,2018
163165,979795,2019
163166,979824,2018
163167,979917,2018
163168,979923,2018
163170,980001,2014
163171,980202,2019
163172,980241,2014
163173,980427,2018
163174,980433,2018
163175,980439,2018
163176,980445,2018
163177,980483,2014
163178,980634,2014
163179,980788,2014
163180,980948,2014
163181,981074,2014
163182,981207,2019
163183,981224,2018
163184,981263,2014
163185,981407,2018
163186,981413,2014
163187,981552,2014
163189,981746,2014
163190,981871,2014
163192,982042,2014
163194,982194,2014
163195,982275,2018
163196,982313,2019
163197,982342,2018
163199,982975,2018
163200,982981,2018
163201,982987,2018
163202,982993,2014
163203,983134,2014
163204,983300,2014
163205,983428,2019
163207,983527,2014
163208,984948,2018
163209,984954,2018
163210,985059,2018
163211,985065,2014
163213,985195,2019
163215,985247,2018
163217,985340,2018
163218,985434,2014
163219,985685,2014
163220,985815,2019
163221,985854,2014
163222,985961,2014
163224,986209,2018
163225,986248,2014
163226,986349,2014
163227,986482,2014
163229,987424,2014
163230,987571,2019
163231,987600,2014
163232,987711,2014
163233,988089,2019
163234,988118,2014
163235,988278,2014
163236,988390,2018
163237,988428,2018
163238,988641,2014
163239,988760,2018
163240,988766,2014
163241,988835,2014
163242,988930,2014
163243,989071,2014
163244,989304,2019
163245,989333,2014
163246,989453,2014
163247,989789,2014
163248,989926,2018
163249,989965,2018
163250,990003,2018
163251,990096,2018
163252,990102,2014
163253,990232,2014
163254,990376,2018
163255,990382,2014
163256,990506,2014
163257,990670,2014
163258,990818,2014
163260,991014,2014
163261,991146,2018
163262,991152,2014
163263,991280,2014
163264,991406,2024
163265,991505,2014
163266,991688,2014
163267,991803,2014
163268,992033,2014
163270,992644,2014
163271,992799,2018
163272,992805,2018
163273,992811,2019
163274,992817,2014
163275,992940,2014
163276,993102,2014
163278,993322,2014
163279,993471,2018
163280,993510,2018
163281,993549,2018
163282,993638,2014
163284,993781,2014
163285,993882,2018
163287,994021,2018
163288,994060,2014
163290,994217,2018
163291,994223,2018
163292,994368,2018
163293,994503,2018
163294,994542,2014
163295,994746,2018
163297,994785,2018
163298,994791,2014
163299,994916,2014
163300,995017,2014
163301,995177,2018
163302,995216,2014
163303,995388,2019
163304,995427,2014
163305,995701,2014
163306,995808,2014
163307,995942,2018
163308,996023,2018
163309,996125,2014
163310,996236,2014
163311,996411,2014
163312,996781,2014
163313,997785,2018
163315,997905,2018
163316,997944,2014
163317,998069,2018
163318,998148,2019
163320,998243,2018
163321,998336,2024
163325,998638,2014
163326,998750,2018
163328,998805,2014
163329,998935,2018
163330,999070,2014
163331,999174,2018
163332,999213,2014
163333,999314,2018
163334,999352,2014
163335,999493,2018
163337,999635,2014
163338,999779,2014
163339,999965,2018
163340,1000039,2019
163341,1000089,2014
163342,1000192,2014
163343,1000352,2014
163344,1000530,2018
163345,1000627,2014
163346,1000705,2018
163347,1000711,2014
163348,1000819,2014
163349,1000932,2019
163350,1000971,2014
163351,1001114,2018
163352,1001153,2014
163353,1001253,2014
163354,1001383,2018
163356,1001389,2019
163357,1001457,2014
163358,1001647,2018
163359,1001685,2018
163360,1001723,2018
163361,1001928,2014
163362,1002013,2014
163364,1002165,2018
163365,1002258,2014
163366,1002391,2014
163367,1002502,2019
163368,1002508,2014
163370,1003031,2018
163371,1003070,2018
163372,1003109,2014
163373,1003266,2014
163374,1003312,2014
163375,1003448,2014
163376,1003553,2019
163377,1003617,2014
163378,1003771,2018
163379,1003777,2019
163380,1003783,2018
163381,1003822,2018
163382,1003861,2018
163383,1003867,2019
163384,1003896,2019
163385,1003931,2018
163387,1004089,2018
163388,1004127,2018
163389,1004133,2014
163390,1004270,2018
163391,1004389,2014
163392,1004471,2018
163393,1004477,2019
163394,1004516,2014
163395,1004594,2018
163396,1004633,2014
163397,1004745,2018
163399,1004831,2014
163400,1004930,2014
163402,1005143,2014
163403,1005247,2014
163404,1005379,2014
163405,1005491,2014
163406,1005653,2018
163407,1005749,2018
