aphia_id,error,sis_taxon_id,valid_sciname
126307,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
126457,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
126611,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
126613,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
126616,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
126942,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
127034,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
127036,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
127096,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
135180,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
151498,NA,196421,Crenimugil crenilabis
158074,NA,5379,Coregonus huntsmani
158833,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
159252,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
159845,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
212265,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
212284,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
215515,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
215600,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
217434,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
217570,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
218105,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
218168,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
218193,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
219539,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
219764,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
219846,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
219914,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
220077,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
220327,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
221512,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
238343,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
254568,NA,5375,Coregonus pidschian
271324,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
271485,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
271542,NA,144159779,Dipturus chilensis
271552,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
271555,NA,41800,Dipturus nasutus
271562,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
271871,NA,195780,Gymnothorax polyuranodon
271995,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
272091,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
272724,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
273165,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
273174,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
273600,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
273633,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
274308,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
274313,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
274315,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
274338,NA,159717792,Coregonus anaulorum
274344,NA,5374,Coregonus peled
274732,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
275314,NA,196422,Crenimugil heterocheilos
275921,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
276342,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
276978,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
277632,NA,169636,Bathygobius ostreicola
277754,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
277788,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
277828,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
277830,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
277905,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
277906,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
278509,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
278549,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
278628,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
278890,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
279109,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
279489,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
279587,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
279638,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
279757,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
279959,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
280138,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
280374,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
280546,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
281026,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
281157,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
281170,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
281424,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
281429,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
281590,NA,166148,Monopterus albus
282084,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
282164,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
282267,NA,143618975,Plagioscion pauciradiatus
282440,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
282792,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
282882,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
283185,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
293658,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
298238,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
299709,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
301526,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
302950,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
303762,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
304153,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
305635,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
305637,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
306012,NA,61253,Salmo macrostigma
307068,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
307072,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
307126,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
308768,"Error in parse_con(txt, bigint_as_char) : parse error: premature EOF
                                       
                     (right here) ------^

",NA,NA
