assessment_id,group,sis_taxon_id,sciname,redlist_version,redlist_category,assessed_year,scope
495630,sharks_and_rays,10030,Hexanchus griseus,3.1,NT,2020,Global
500780,pufferfishes,11150,Lagocephalus gloveri,3.1,DD,2014,Global
500969,sharks_and_rays,11200,Lamna nasus,3.1,VU,2019,Global
506633,not comprehensively assessed,12417,Lutjanus cyanopterus,3.1,VU,2016,Global
507698,not comprehensively assessed,12695,Malaclemys terrapin,3.1,VU,2019,Global
512306,not comprehensively assessed,13145,Menidia conchorum,3.1,EN,2015,Global
514996,not comprehensively assessed,13520,Mictocaris halope,3.1,CR,2014,Global
718371,not comprehensively assessed,154656,Parioglossus neocaledonicus,3.1,DD,2012,Global
718871,seabreams_porgies_picarels,154708,Diplodus cervinus,3.1,LC,2014,Global
719371,not comprehensively assessed,154767,Membras martinica,3.1,LC,2019,Global
720431,not comprehensively assessed,154871,Ctenogobius thoropsis,3.1,LC,2025,Global
722547,not comprehensively assessed,155018,Sciades parkeri,3.1,VU,2015,Global
722731,not comprehensively assessed,155020,Anchoa walkeri,3.1,LC,2020,Global
723579,not comprehensively assessed,155051,Microgobius tabogensis,3.1,LC,2019,Global
723760,not comprehensively assessed,155080,Hyporhamphus roberti,3.1,LC,2019,Global
725623,not comprehensively assessed,155130,Caranx sexfasciatus,3.1,LC,2019,Global
726254,not comprehensively assessed,155152,Lutjanus apodus,3.1,LC,2016,Global
727668,not comprehensively assessed,155207,Menidia peninsulae,3.1,LC,2019,Global
728197,not comprehensively assessed,155259,Strongylura marina,3.1,LC,2019,Global
729102,not comprehensively assessed,155273,Ostorhinchus lateralis,3.1,LC,2012,Global
732242,not comprehensively assessed,155535,Paludinella sicana,3.1,LC,2014,Global
735697,not comprehensively assessed,155736,Corbicula fluminea,3.1,LC,2012,Global
738398,not comprehensively assessed,155980,Potamopyrgus antipodarum,3.1,LC,2013,Global
788483,seabreams_porgies_picarels,15873,Pagrus pagrus,3.1,LC,2014,Global
816039,not comprehensively assessed,16012,Favonigobius reichei,3.1,LC,2017,Global
885767,sharks_and_rays,161318,Leucoraja lentiginosa,3.1,LC,2020,Global
886000,sharks_and_rays,161331,Dactylobatus clarkii,3.1,LC,2020,Global
887217,sharks_and_rays,161373,Pseudobatos percellens,3.1,EN,2020,Global
887542,sharks_and_rays,161378,Carcharhinus acronotus,3.1,EN,2021,Global
887942,sharks_and_rays,161403,Somniosus pacificus,3.1,NT,2021,Global
888243,sharks_and_rays,161436,Myliobatis goodei,3.1,VU,2020,Global
888910,sharks_and_rays,161443,Etmopterus pusillus,3.1,LC,2020,Global
889779,sharks_and_rays,161514,Dipturus oregoni,3.1,LC,2020,Global
889953,sharks_and_rays,161517,Etmopterus lucifer,3.1,LC,2018,Global
890179,sharks_and_rays,161518,Mustelus norrisi,3.1,NT,2021,Global
890428,sharks_and_rays,161524,Carcharhinus isodon,3.1,NT,2021,Global
890724,sharks_and_rays,161564,Carcharhinus altimus,3.1,NT,2020,Global
892763,sharks_and_rays,161610,Dipturus teevani,3.1,LC,2020,Global
893386,sharks_and_rays,161681,Springeria folirostris,3.1,LC,2020,Global
893530,sharks_and_rays,161682,Cruriraja rugosa,3.1,LC,2020,Global
894216,sharks_and_rays,161696,Alopias superciliosus,3.1,VU,2019,Global
895848,sharks_and_rays,161702,Rajella purpuriventralis,3.1,LC,2020,Global
896010,sharks_and_rays,161718,Dipturus olseni,3.1,LC,2020,Global
896169,sharks_and_rays,161731,Pteroplatytrygon violacea,3.1,LC,2019,Global
896981,sharks_and_rays,161743,Pseudobatos lentiginosus,3.1,VU,2020,Global
901754,not comprehensively assessed,162494,Semirossia patagonica,3.1,LC,2012,Global
901868,not comprehensively assessed,162495,Austrorossia mastigophora,3.1,LC,2012,Global
902152,not comprehensively assessed,162496,Sepia tanybracheia,3.1,DD,2012,Global
902289,not comprehensively assessed,162497,Sepia lycidas,3.1,DD,2012,Global
902737,not comprehensively assessed,162498,Sepia hierredda,3.1,DD,2012,Global
903030,not comprehensively assessed,162499,Sepioloidea lineolata,3.1,DD,2012,Global
903191,not comprehensively assessed,162500,Sepiella inermis,3.1,DD,2012,Global
903699,not comprehensively assessed,162501,Rossia brachyura,3.1,DD,2012,Global
903824,not comprehensively assessed,162502,Stoloteuthis leucoptera,3.1,DD,2012,Global
904119,not comprehensively assessed,162503,Sepia koilados,3.1,LC,2012,Global
904257,not comprehensively assessed,162504,Sepia pharaonis,3.1,DD,2012,Global
904969,not comprehensively assessed,162505,Sepia latimanus,3.1,DD,2012,Global
905720,not comprehensively assessed,162506,Sepia murrayi,3.1,DD,2012,Global
905895,not comprehensively assessed,162507,Megaleledone setebos,3.1,LC,2019,Global
906118,not comprehensively assessed,162508,Sepiola parva,3.1,LC,2012,Global
906314,not comprehensively assessed,162509,Sepia trygonina,3.1,LC,2012,Global
906617,not comprehensively assessed,162510,Sepia robsoni,3.1,DD,2012,Global
906758,not comprehensively assessed,162511,Sepia tokioensis,3.1,DD,2012,Global
906905,not comprehensively assessed,162512,Sepia longipes,3.1,DD,2012,Global
907105,not comprehensively assessed,162513,Sepia madokai,3.1,DD,2012,Global
907364,not comprehensively assessed,162514,Sepia baxteri,3.1,DD,2012,Global
907492,not comprehensively assessed,162515,Sepia plana,3.1,LC,2012,Global
907630,not comprehensively assessed,162516,Euprymna penares,3.1,DD,2012,Global
907766,not comprehensively assessed,162517,Rossia glaucopis,3.1,DD,2012,Global
907876,not comprehensively assessed,162518,Austrorossia bipapillata,3.1,DD,2012,Global
908078,not comprehensively assessed,162519,Neorossia leptodons,3.1,DD,2012,Global
908215,not comprehensively assessed,162520,Sepia senta,3.1,LC,2012,Global
908353,not comprehensively assessed,162521,Sepiolina nipponensis,3.1,DD,2012,Global
908576,not comprehensively assessed,162522,Sepia elongata,3.1,DD,2012,Global
908776,not comprehensively assessed,162523,Rossia macrosoma,3.1,DD,2012,Global
909251,not comprehensively assessed,162524,Sepia vietnamica,3.1,DD,2012,Global
909453,not comprehensively assessed,162525,Sepia saya,3.1,DD,2012,Global
909581,not comprehensively assessed,162526,Idiosepius thailandicus,3.1,DD,2012,Global
909765,not comprehensively assessed,162527,Sepiadarium kochi,3.1,LC,2012,Global
910154,not comprehensively assessed,162528,Sepiella weberi,3.1,DD,2012,Global
910328,not comprehensively assessed,162529,Rossia bullisi,3.1,DD,2012,Global
910475,not comprehensively assessed,162530,Sepiadarium nipponianum,3.1,DD,2012,Global
910702,not comprehensively assessed,162532,Sepia dubia,3.1,DD,2012,Global
910843,not comprehensively assessed,162533,Sepia vossi,3.1,DD,2012,Global
911013,not comprehensively assessed,162535,Rhombosepion omani,3.1,LC,2012,Global
911229,not comprehensively assessed,162536,Heteroteuthis dagamensis,3.1,DD,2012,Global
911356,not comprehensively assessed,162537,Euprymna phenax,3.1,DD,2012,Global
911484,not comprehensively assessed,162538,Metasepia tullbergi,3.1,DD,2012,Global
911853,not comprehensively assessed,162539,Sepiola affinis,3.1,DD,2012,Global
912120,not comprehensively assessed,162540,Sepia tenuipes,3.1,DD,2012,Global
912308,not comprehensively assessed,162541,Sepia mascarensis,3.1,DD,2012,Global
912464,not comprehensively assessed,162542,Sepia bartletti,3.1,DD,2012,Global
912594,not comprehensively assessed,162543,Nectoteuthis pourtalesi,3.1,DD,2012,Global
912737,not comprehensively assessed,162544,Sepia mira,3.1,LC,2012,Global
912889,not comprehensively assessed,162545,Sepia tuberculata,3.1,DD,2012,Global
913028,not comprehensively assessed,162547,Idiosepius notoides,3.1,DD,2012,Global
913229,not comprehensively assessed,162548,Sepiella japonica,3.1,DD,2012,Global
913525,not comprehensively assessed,162549,Rhombosepion orbignyanum,3.1,DD,2012,Global
913995,not comprehensively assessed,162550,Sepiadarium austrinum,3.1,DD,2012,Global
914143,not comprehensively assessed,162551,Sepia faurei,3.1,DD,2012,Global
914284,not comprehensively assessed,162552,Rossia palpebrosa,3.1,LC,2012,Global
914520,not comprehensively assessed,162553,Sepia pulchra,3.1,DD,2012,Global
914661,not comprehensively assessed,162554,Sepia papuensis,3.1,LC,2012,Global
