sciname_match,aphia_id,sciname_query
Malaclemys terrapin,422564,Malaclemys terrapin
Ostorhinchus lateralis,712667,Ostorhinchus lateralis
NA,NA,Corbicula fluminea
Potamopyrgus antipodarum,147123,Potamopyrgus antipodarum
Sepiola parva,342203,Sepiola parva
Sepia baxteri,342117,Sepia baxteri
Sepiadarium kochii,342391,Sepiadarium kochi
Euprymna phenax,342319,Euprymna phenax
Sepia bartletti,342115,Sepia bartletti
Idiosepius notoides,342342,Idiosepius notoides
Sepietta petersii,342200,Sepietta petersi
Sepiola birostrata,342201,Sepiola birostrata
Sepiola aurantiaca,141455,Sepiola aurantiaca
Sepiola ligulata,141457,Sepiola ligulata
Sepiola pfefferi,342204,Sepiola pfefferi
NA,NA,Sepia appellofi
Sepiola trirostrata,342206,Sepiola trirostrata
Sepiola knudseni,342202,Sepiola knudseni
Thaumeledone rotunda,325341,Thaumeledone rotunda
NA,NA,Tetracheledone spinicirrus
Mastigoteuthis cordiformis,341896,Mastigoteuthis cordiformis
Octopus huttoni,414140,Octopus huttoni
Muusoctopus normani,527158,Muusoctopus normani
Mastigoteuthis famelica,410374,Mastigoteuthis famelica
Grimalditeuthis bonplandii,238742,Grimalditeuthis bonplandi
Uroteuthis duvaucelii,410411,Uroteuthis duvauceli
Octopus campbelli,341959,Octopus campbelli
Macrotritopus scorpio,534534,Macrotritopus scorpio
Doryteuthis pleii,574543,Doryteuthis plei
Argonauta nodosa,225565,Argonauta nodosa
Uroteuthis pickfordi,955771,Uroteuthis pickfordi
Ancistrocheirus lesueurii,138747,Ancistrocheirus lesueuri
Abraliopsis morisii,237819,Abraliopsis morisi
Octopus mercatoris,341997,Octopus mercatoris
NA,NA,Mastigoteuthis atlantica
Robsonella fontanianus,1046168,Robsonella fontanianus
Ancistroteuthis lichtensteinii,140647,Ancistroteuthis lichtensteini
NA,NA,Cirroctopus antarctica
NA,NA,Enteroctopus californicus
NA,NA,Argonauta cornuta
Octopus mernoo,341998,Octopus mernoo
NA,NA,Scaergus patagiatus
Onykia ingens,410381,Onykia ingens
Mastigoteuthis pyrodes,341905,Mastigoteuthis pyrodes
Eogonatus tinro,342312,Eogonatus tinro
NA,NA,Octopus olivieri
Callimachus rancureli,550404,Callimachus rancureli
Liocranchia reinhardti,559381,Liocranchia reinhardti
NA,NA,Cycloteuthis serventyi
NA,NA,Histioteuthis machrohista
NA,NA,Alluroteuthis antarctica
Allonautilus perforatus,342268,Allonautilus perforatus
Callistoctopus kermadecensis,535757,Callistoctopus kermadecensis
Octopus filosus,341972,Octopus filosus
NA,NA,Scaergus unicirrhus
Mastigoteuthis magna,238750,Mastigoteuthis magna
Mastigoteuthis hjorti,341900,Mastigoteuthis hjorti
NA,NA,Octopus hawiiensis
Octopus leioderma,341991,Octopus leioderma
Argonauta boettgeri,225567,Argonauta boettgeri
Mastigoteuthis danae,341897,Mastigoteuthis danae
NA,NA,Enteroctopus conispadiceus
NA,NA,Mastigoteuthis glaukopsis
Kondakovia longimana,325308,Kondakovia longimana
NA,NA,Batagur borneoensis
Bolboschoenus maritimus,416203,Bolboschoenus maritimus
NA,NA,Pelochelys cantorii
NA,NA,Pelochelys bibroni
Vitta adansoniana,1325980,Vitta adansoniana
NA,NA,Septaria borbonica
Assiminea latericea,1023440,Assiminea latericea
Zenarchopterus striga,277919,Zenarchopterus striga
Polymesoda bengalensis,761285,Polymesoda bengalensis
Cheimerius matsubarai,277382,Cheimerius matsubarai
NA,NA,Pelochelys signifera
NA,NA,Scaphula pinna
Batissa similis,574115,Batissa similis
Neosolen aquaedulcioris,413637,Neosolen aquaedulcioris
Sermyla riquetii,757054,Sermyla riqueti
Chiroteuthis veranyi,760247,Chiroteuthis veranyi
Mastigoteuthis microlucens,410376,Mastigoteuthis microlucens
Mastigoteuthis tyroi,410377,Mastigoteuthis tyroi
NA,NA,Fowlea punctulata
Zebrasoma veliferum,219684,Zebrasoma veliferum
Forsterygion gymnota,713619,Forsterygion gymnota
Blennodon dorsale,279920,Blennodon dorsale
NA,NA,Kraussia kirkii
NA,NA,Agelanthus kayseri
NA,NA,Pseudostichopus aemaulatus
Holothuria flavocastanea,210878,Holothuria flavocastanea
NA,NA,Holothuria coronopertusa
NA,NA,Holothuria rowei
NA,NA,Holothuria erinaceaus
NA,NA,Holothuria floridana
NA,NA,Holothuria dura
NA,NA,Holothuria fuligina
NA,NA,Holothuria vemae
NA,NA,Holothuria multipilula
NA,NA,Holothuria duoturricula
NA,NA,Holothuria kefersteinii
NA,NA,Holothuria zihuatanensis
NA,NA,Holothuria foresti
Paroriza prohoi,124580,Paroriza prohoi
NA,NA,Holothuria cavans
NA,NA,Holothuria tripilata
NA,NA,Holothuria crosnieri
Bohadschia tenuissima,210769,Bohadschia tenuissima
Stichopus mollis,242056,Stichopus mollis
NA,NA,Holothuria annulifera
Mesothuria expectans,124567,Mesothuria expectans
NA,NA,Holothuria horrida
Bathyplotes tizardi,124555,Bathyplotes tizardi
NA,NA,Holothuria unica
NA,NA,Holothuria vittalonga
NA,NA,Mesothuria abberviata
Stichopus paradoxus,242059,Stichopus paradoxus
NA,NA,Mesothuria connectens
NA,NA,Holothuria granosa
Holothuria exilis,732232,Holothuria exilis
NA,NA,Holothuria albofusca
Neostichopus mollis,241930,Neostichopus mollis
Mesothuria triradiata,124575,Mesothuria triradiata
Parastichopus nigripunctatus,1731996,Parastichopus nigripunctatus
NA,NA,Holothuria dicorona
Bohadschia similis,210761,Bohadschia similis
Holothuria chilensis,529266,Holothuria chilensis
Holothuria papillifera,732372,Holothuria papillifera
NA,NA,Holothuria conusalba
NA,NA,Holothuria milloti
NA,NA,Holothuria fuscorubra
NA,NA,Holothuria tortonesei
NA,NA,Holothuria bacilla
NA,NA,Holothuria excellens
NA,NA,Holothuria asperita
Parastichopus californicus,711954,Parastichopus californicus
NA,NA,Holothuria rigida
NA,NA,Holothuria stocki
Holothuria sulcata,847980,Holothuria sulcata
Zygothuria candelabri,816799,Mesothuria candelabra
Bathyplotes spuma,174118,Bathyplotes spuma
NA,NA,Mesothuria lactea
NA,NA,Holothuria parvula
NA,NA,Holothuria sinica
Synallactes angustus,242066,Synallactes angustus
Holothuria riojai,529514,Holothuria riojai
NA,NA,Holothuria mactanensis
NA,NA,Holothuria thomasi
NA,NA,Holothuria turriscelsa
Pseudostichopus occultatus,124587,Pseudostichopus occulatatus
Synallactes crebrapapilla,242067,Synallactes crebrapapilla
NA,NA,Holothuria dakarensis
NA,NA,Holothuria mammosa
Protosalanx chinensis,315354,Protosalanx chinensis
NA,NA,Cynoglossus feldmanni
NA,NA,Minyclupeoides dentibranchialus
Arius gigas,275573,Arius gigas
NA,NA,Atherinella crystallina
Morrisonietta gracilis,1326200,Morrisonietta gracilis
Stenothyra labiata,820053,Stenothyra labiata
Stenothyra glabrata,820059,Stenothyra glabrata
NA,NA,Gyraulus hubendicki
Iravadia reticulata,607237,Iravadia reticulata
Stenothyra schlickumi,820061,Stenothyra schlickumi
Morrisonietta krungtepensis,1326197,Morrisonietta krungtepensis
Stenothyra prasongi,820066,Stenothyra prasongi
NA,NA,Rehderiella parva
Stenothyra maculata,820062,Stenothyra maculata
Stenothyra hardouini,820067,Stenothyra hardouini
Auriculastra elongata,1468520,Auriculastra elongata
Stenothyra cyrtochila,820057,Stenothyra cyrtochila
Stenothyra acuta,820058,Stenothyra acuta
NA,NA,Clenchiella microscopica
Iravadia rohdei,607266,Iravadia rohdei
Iravadia cochinchinensis,607263,Iravadia cochinchinensis
Eucinostomus lefroyi,159734,Eucinostomus lefroyi
Psilotris batrachodes,282490,Psilotris batrachodes
Psilotris celsus,282492,Psilotris celsus
Psilotris amblyrhynchus,282489,Psilotris amblyrhynchus
