query,syn_id,syn_name,valid_aphia_id,valid_sciname,error
126307,1621410,Facciolella oxyrhyncha,126307,Facciolella oxyrhynchus,NA
126307,299704,Facciolella physonema,126307,Facciolella oxyrhynchus,NA
126307,299705,Facciolella physonima,126307,Facciolella oxyrhynchus,NA
126307,1577881,Faccionella oxyrhyncha,126307,Facciolella oxyrhynchus,NA
126307,314809,Leptocephalus oxyrhynchus,126307,Facciolella oxyrhynchus,NA
126307,319643,Nettastomella physonima,126307,Facciolella oxyrhynchus,NA
126457,300813,Enchelyopus mediterraneus,126457,Gaidropsarus mediterraneus,NA
126457,300725,Gadus argenteolus,126457,Gaidropsarus mediterraneus,NA
126457,300747,Gadus fuscus,126457,Gaidropsarus mediterraneus,NA
126457,300751,Gadus jubatus,126457,Gaidropsarus mediterraneus,NA
126457,300760,Gadus mediterraneus,126457,Gaidropsarus mediterraneus,NA
126457,300789,Gadus tricirratus,126457,Gaidropsarus mediterraneus,NA
126457,126455,Gaidropsarus guttatus,126457,Gaidropsarus mediterraneus,NA
126457,300820,Gaidropsarus mustellaris,126457,Gaidropsarus mediterraneus,NA
126457,400601,Gaidropsaurus mediterraneus,126457,Gaidropsarus mediterraneus,NA
126457,319431,Motella communis,126457,Gaidropsarus mediterraneus,NA
126457,319433,Motella fusca,126457,Gaidropsarus mediterraneus,NA
126457,319435,Motella mediterranea,126457,Gaidropsarus mediterraneus,NA
126457,400602,Mustela fusca,126457,Gaidropsarus mediterraneus,NA
126457,307951,Onos fusca,126457,Gaidropsarus mediterraneus,NA
126457,307953,Onos mediterraneus,126457,Gaidropsarus mediterraneus,NA
126457,307956,Onos sellai,126457,Gaidropsarus mediterraneus,NA
126457,1620061,Onos tricirrata,126457,Gaidropsarus mediterraneus,NA
126457,1623779,Onos tricirratus,126457,Gaidropsarus mediterraneus,NA
126457,319747,Onus guttatus,126457,Gaidropsarus mediterraneus,NA
126611,319016,Macrostoma atrum,126611,Lampanyctus ater,NA
126611,158909,Nannobrachium atrum,126611,Lampanyctus ater,NA
