assessment_id,group,sis_taxon_id,sciname,redlist_version,redlist_category,assessed_year,scope
241132799,angelfishes,241132797,Centropyge deborae,3.1,DD,2024,Global
214365903,angelfishes,214365901,Chaetodontoplus cephalareticulatus,3.1,LC,2022,Global
6144988,angelfishes,165836,Holacanthus limbaughi,3.1,NT,2010,Global
6151012,angelfishes,165861,Holacanthus clarionensis,3.1,VU,2010,Global
4771656,angelfishes,155308,Centropyge loricula,3.1,LC,2010,Global
6141860,angelfishes,165823,Centropyge nahackyi,3.1,NT,2010,Global
6142025,angelfishes,165824,Centropyge boylei,3.1,LC,2010,Global
6142661,angelfishes,165828,Centropyge fisheri,3.1,LC,2010,Global
6143509,angelfishes,165830,Centropyge hotumatua,3.1,LC,2010,Global
6145523,angelfishes,165838,Centropyge colini,3.1,LC,2010,Global
6147706,angelfishes,165848,Centropyge heraldi,3.1,LC,2010,Global
6148052,angelfishes,165849,Centropyge ferrugata,3.1,LC,2010,Global
6149013,angelfishes,165852,Paracentropyge multifasciata,3.1,LC,2010,Global
6149632,angelfishes,165854,Centropyge debelius,3.1,LC,2010,Global
6149788,angelfishes,165855,Centropyge eibli,3.1,LC,2010,Global
6150186,angelfishes,165857,Chaetodontoplus duboulayi,3.1,LC,2010,Global
6150368,angelfishes,165858,Centropyge interruptus,3.1,LC,2010,Global
6150674,angelfishes,165860,Centropyge vrolikii,3.1,LC,2010,Global
6152833,angelfishes,165868,Centropyge nox,3.1,LC,2010,Global
6153339,angelfishes,165870,Chaetodontoplus conspicillatus,3.1,LC,2010,Global
6153518,angelfishes,165871,Centropyge bispinosa,3.1,LC,2010,Global
6154710,angelfishes,165875,Centropyge shepardi,3.1,LC,2010,Global
6154884,angelfishes,165876,Centropyge multispinis,3.1,LC,2010,Global
6155199,angelfishes,165878,Centropyge flavissima,3.1,LC,2010,Global
6156216,angelfishes,165881,Chaetodontoplus personifer,3.1,LC,2010,Global
6158737,angelfishes,165890,Centropyge joculator,3.1,LC,2010,Global
6158885,angelfishes,165891,Chaetodontoplus meredithi,3.1,LC,2010,Global
6159058,angelfishes,165892,Chaetodontoplus niger,3.1,LC,2010,Global
6159207,angelfishes,165893,Centropyge aurantia,3.1,LC,2010,Global
6159558,angelfishes,165895,Centropyge flavipectoralis,3.1,LC,2010,Global
6159731,angelfishes,165896,Centropyge multicolor,3.1,LC,2010,Global
6159992,angelfishes,165897,Centropyge nigriocellus,3.1,LC,2010,Global
6160601,angelfishes,165899,Centropyge potteri,3.1,LC,2010,Global
6160869,angelfishes,165900,Centropyge venusta,3.1,LC,2010,Global
6161055,angelfishes,165901,Centropyge tibicen,3.1,LC,2010,Global
6161394,angelfishes,165902,Centropyge bicolor,3.1,LC,2010,Global
6161805,angelfishes,165903,Centropyge narcosis,3.1,LC,2010,Global
6666453,angelfishes,169679,Centropyge abei,3.1,LC,2010,Global
4639390,angelfishes,154809,Apolemichthys kingi,3.1,LC,2010,Global
6141673,angelfishes,165822,Apolemichthys griffisi,3.1,LC,2010,Global
6142167,angelfishes,165825,Holacanthus africanus,3.1,LC,2010,Global
6142388,angelfishes,165826,Chaetodontoplus chrysocephalus,3.1,LC,2010,Global
6142514,angelfishes,165827,Genicanthus takeuchii,3.1,LC,2010,Global
6143143,angelfishes,165829,Pomacanthus xanthometopon,3.1,LC,2010,Global
6143660,angelfishes,165831,Pomacanthus chrysurus,3.1,LC,2010,Global
6143879,angelfishes,165832,Holacanthus bermudensis,3.1,LC,2010,Global
6144097,angelfishes,165833,Pomacanthus maculosus,3.1,LC,2010,Global
6144376,angelfishes,165834,Apolemichthys arcuatus,3.1,LC,2010,Global
6144569,angelfishes,165835,Apolemichthys trimaculatus,3.1,LC,2010,Global
6145156,angelfishes,165837,Centropyge argi,3.1,LC,2010,Global
6145733,angelfishes,165839,Pomacanthus asfur,3.1,LC,2010,Global
6145988,angelfishes,165840,Pomacanthus sexstriatus,3.1,LC,2010,Global
6146292,angelfishes,165841,Apolemichthys xanthopunctatus,3.1,LC,2010,Global
6146481,angelfishes,165842,Pomacanthus rhomboides,3.1,LC,2010,Global
6146629,angelfishes,165843,Genicanthus melanospilos,3.1,LC,2010,Global
6146908,angelfishes,165844,Apolemichthys xanthurus,3.1,LC,2010,Global
6147130,angelfishes,165845,Genicanthus caudovittatus,3.1,LC,2010,Global
6147400,angelfishes,165846,Genicanthus spinus,3.1,LC,2010,Global
6147547,angelfishes,165847,Chaetodontoplus ballinae,3.1,LC,2010,Global
6148337,angelfishes,165850,Chaetodontoplus melanosoma,3.1,LC,2010,Global
6148505,angelfishes,165851,Pomacanthus semicirculatus,3.1,LC,2010,Global
6149398,angelfishes,165853,Apolemichthys xanthotis,3.1,LC,2010,Global
6150009,angelfishes,165856,Genicanthus semifasciatus,3.1,LC,2010,Global
6151184,angelfishes,165862,Pomacanthus imperator,3.1,LC,2010,Global
6151838,angelfishes,165863,Chaetodontoplus dimidiatus,3.1,LC,2010,Global
6151980,angelfishes,165864,Genicanthus bellus,3.1,LC,2010,Global
6152213,angelfishes,165865,Centropyge aurantonotus,3.1,LC,2010,Global
6152605,angelfishes,165867,Pomacanthus navarchus,3.1,LC,2010,Global
6153102,angelfishes,165869,Apolemichthys guezei,3.1,DD,2010,Global
6153996,angelfishes,165872,Genicanthus watanabei,3.1,LC,2010,Global
6154247,angelfishes,165873,Pomacanthus annularis,3.1,LC,2010,Global
6154560,angelfishes,165874,Genicanthus personatus,3.1,LC,2010,Global
6155521,angelfishes,165879,Holacanthus tricolor,3.1,LC,2010,Global
6155998,angelfishes,165880,Holacanthus passer,3.1,LC,2010,Global
6156389,angelfishes,165882,Chaetodontoplus septentrionalis,3.1,LC,2010,Global
6156566,angelfishes,165883,Holacanthus ciliaris,3.1,LC,2010,Global
6156968,angelfishes,165884,Chaetodontoplus mesoleucus,3.1,LC,2010,Global
6157224,angelfishes,165885,Pygoplites diacanthus,3.1,LC,2010,Global
6157789,angelfishes,165887,Pomacanthus arcuatus,3.1,LC,2010,Global
6158177,angelfishes,165888,Genicanthus lamarck,3.1,LC,2010,Global
6158436,angelfishes,165889,Pomacanthus zonipectus,3.1,LC,2010,Global
6159417,angelfishes,165894,Chaetodontoplus caeruleopunctatus,3.1,DD,2010,Global
6160204,angelfishes,165898,Pomacanthus paru,3.1,LC,2010,Global
6484924,angelfishes,168374,Chaetodontoplus poliourus,3.1,LC,2010,Global
6666175,angelfishes,169676,Chaetodontoplus vanderloosi,3.1,EN,2010,Global
97799843,angelfishes,4131,Centropyge resplendens,3.1,LC,2010,Global
177436288,angelfishes,165866,Genicanthus semicinctus,3.1,LC,2020,Global
4694588,angelfishes,155083,Centropyge acanthops,3.1,LC,2010,Global
281001651,birds,103827064,Microspingus torquatus,3.1,LC,2025,Global
281029047,birds,103845767,Anisognathus igniventris,3.1,LC,2025,Global
264303350,birds,22722624,Anisognathus melanogenys,3.1,LC,2025,Global
281034711,birds,22723701,Diglossa glauca,3.1,LC,2025,Global
281024836,birds,22702100,Cinclodes patagonicus,3.1,LC,2025,Global
281003388,birds,22724986,Grallaricula nana,3.1,LC,2025,Global
172913470,birds,103815127,Geospiza difficilis,3.1,LC,2025,Global
281009267,birds,22722976,Dacnis albiventris,3.1,LC,2025,Global
280995498,birds,22723822,Cardinalis phoeniceus,3.1,LC,2025,Global
264373834,birds,103780778,Psarocolius oleagineus,3.1,LC,2025,Global
264290902,birds,103774870,Atlapetes paynteri,3.1,LC,2025,Global
281034542,birds,103774148,Atlapetes tricolor,3.1,LC,2025,Global
281008913,birds,22721434,Atlapetes melanocephalus,3.1,LC,2025,Global
281014081,birds,103773936,Atlapetes albofrenatus,3.1,LC,2025,Global
281040045,birds,103769530,Arremon torquatus,3.1,LC,2025,Global
281032318,birds,22735557,Anas andium,3.1,LC,2025,Global
281030644,birds,22703314,Grallaria capitalis,3.1,LC,2025,Global
281033138,birds,22708858,Turdus nigriceps,3.1,LC,2025,Global
154875284,birds,22708624,Entomodestes coracinus,3.1,LC,2025,Global
281033530,birds,103889880,Cyphorhinus thoracicus,3.1,LC,2025,Global
281028133,birds,105294254,Pheugopedius sclateri,3.1,LC,2025,Global
281028706,birds,105294259,Pheugopedius paucimaculatus,3.1,LC,2025,Global
281029841,birds,103888269,Pheugopedius euophrys,3.1,LC,2025,Global
264078544,birds,45426696,Pyrrhura pacifica,3.1,LC,2025,Global
281038871,birds,22700183,Muscisaxicola cinereus,3.1,LC,2025,Global
281001036,birds,22699943,Ochthoeca leucophrys,3.1,LC,2025,Global
264327954,birds,103682791,Ochthoeca nigrita,3.1,LC,2025,Global
281010912,birds,22699912,Silvicultrix diadema,3.1,LC,2025,Global
281038665,birds,22699677,Myiophobus roraimae,3.1,LC,2025,Global
281005784,birds,22700408,Myiarchus venezuelensis,3.1,LC,2025,Global
281001239,birds,22699430,Pseudocolopteryx acutipennis,3.1,LC,2025,Global
280986619,birds,22699319,Mecocerculus hellmayri,3.1,LC,2025,Global
281000447,birds,103681177,Elaenia obscura,3.1,LC,2025,Global
280989727,birds,22699346,Inezia tenuirostris,3.1,LC,2025,Global
281030019,birds,22699738,Hirundinea ferruginea,3.1,LC,2025,Global
281013260,birds,22699054,Poecilotriccus pulchellus,3.1,LC,2025,Global
280993171,birds,22700800,Pipreola pulchra,3.1,LC,2025,Global
281005131,birds,103676613,Pipreola frontalis,3.1,LC,2025,Global
152420106,birds,22727740,Circus hudsonius,3.1,LC,2025,Global
281007238,birds,103676114,Machaeropterus striolatus,3.1,LC,2025,Global
280996607,birds,22702366,Synallaxis unirufa,3.1,LC,2025,Global
280988526,birds,22702887,Thripadectes ignobilis,3.1,LC,2025,Global
215969896,birds,22730463,Scytalopus magellanicus,3.1,LC,2025,Global
281007912,birds,22678373,Penelope dabbenei,3.1,LC,2025,Global
281037414,birds,22723681,Diglossa carbonaria,3.1,LC,2025,Global
281024998,birds,103849276,Tangara arthus,3.1,LC,2025,Global
281041032,birds,22703237,Grallaria squamigera,3.1,LC,2025,Global
